"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1987,34.23306,-87.31112,931.26,8.71666666666667,23.2966666666667,79.9,0.796666666666667,92.3666666666667,-0.77,18.76,32.3633333333333,87.4666666666667,1.09333333333333,37.7333333333333,-2.39333333333333,-1.24333333333333,11.3466666666667,102.833333333333,0.346666666666667,127.9,-3.86666666666667,7.38666666666667,23.1166666666667,75.8,0.76,33.7666666666667,-3.27,8.7925,22.7483333333333,98.8916666666667,0.7575,72.9416666666667,-1.79583333333333,0.273772253501708,0.953064528341913,2.25302612974221,0.789841218405703,3.17247168819906,0.0840783534387436,0.73237804086106,1.74213299640137,0.494413318996945,0.214861380812029,1.0362938376991,1.08713538590932,0.00112904208416024,0.0360301141636265,0.460414049672243,0.0454811436439129,0.174518608405374,2.16433965679077,1.51984922449533,0.0155720251141197,0.556312997222256,0.742447417027803,1.21515287210549,1.82593893564788,0.355657118603122,3.36906450981811,1.42045604164679,1.78849051378208,1.8329026606889,0.74974342296398,4.24,28.77,17.38,33.84,-3.31,14.17,3.67,28.98,-2.49,33.84,0.125657857424311,2.06177753339993,0.268979012035229,1.86669782700401,3.92439440018341e-05,0.0996356640424132,0.0180467463584532,0.0854850278292987,0.274597145369973,1.86669782700401
1988,34.23306,-87.31112,198.74,7.29,22.4866666666667,90.3333333333333,0.836666666666667,104.966666666667,-4.48666666666667,18.4233333333333,32.11,71.5,1.28666666666667,32.4666666666667,-5.52,0.486666666666667,12.7433333333333,180.666666666667,0.423333333333333,127.9,0.0766666666666666,9.25333333333333,21.8866666666667,149.033333333333,0.7,115.666666666667,-2.95666666666667,8.23666666666667,21.8475,102.683333333333,0.793333333333333,95.25,-4.04416666666667,0.85908017558499,0.0679644078891226,1.59294455345301,2.36858392741413,0.60622378931549,3.5900254749992,0.124105942759771,1.10310996488614,1.94384843532413,4.39410876041207,1.50208125502706,6.1601783866978,1.3827314525916,1.41266265083329,1.30361354017138,4.1206914355786,0.174518608405374,0.0190635796793188,0.0482649319601427,1.11066930855954,2.39598616694084,6.4848232773844e-05,1.96496853551956,1.48264351265002,0.321178167234832,0.000746417535650385,0.959082427615761,5.03294954316041,0.0204292888421251,4.13962953364149,3,27.1,15.89,33.1,-0.38,14.14,4.87,27.88,-3.31,33.1,0.0487771968692106,0.131295482116911,1.25120926847709,0.560670126531248,2.80528717362744,0.0897226468453189,0.537105209408171,0.215635243209546,0.0022359510738456,0.560670126531248
1989,34.23306,-87.31112,390,8.44,22.0633333333333,120.8,0.706666666666667,116.033333333333,1.91333333333333,18.78,29.9,170.4,0.793333333333333,112.833333333333,4.28666666666667,0.233333333333333,12.6,191.233333333333,0.396666666666667,127.9,4.42333333333333,9.12333333333333,22.27,118.6,0.61,118.133333333333,4.61,8.82833333333333,21.2425,145.283333333333,0.615,118.725,3.1925,0.0585745785471975,0.0128303059871932,0.318696144637506,0.329961924821776,0.010390479665571,0.754536613895365,0.784468075219832,1.69439285686319,8.33131428602801,4.28465127519452,3.77297562643111,4.13055714858631,1.01732149576708,1.17952411881864,1.92899548496713,1.95456618548717,0.174518608405374,3.65539294540626,0.0140506778907761,0.471346112687915,0.353652128303928,1.72295269656841,2.18209711185886,4.0380680430476,0.450713693144451,1.40909734494301,1.98291425957409,5.1343028118074,2.95147941121767,2.983091203446,5.51,24.88,17.84,31.26,-4.93,17.04,3.47,26.62,-4.93,31.26,0.890645402384348,1.13370630139695,1.04873610919137,0.618751287898357,0.839652074309174,3.44920455364567,0.00119592202120522,1.7720425097531,0.800228922401874,0.618751287898357
1990,34.23306,-87.31112,10.17,8.49333333333333,21.95,143,0.673333333333333,123.5,4.31,18.2666666666667,32.06,61.4333333333333,1.16333333333333,49.2666666666667,2.29,1.4,12.9566666666667,210.666666666667,0.39,127.9,-0.476666666666667,9.51333333333333,25.01,81.1666666666667,0.85,31.4333333333333,-2.46,9.70583333333333,23.5175,139.208333333333,0.784166666666667,83.025,1.7325,0.0877528866461782,0.0455349092899138,0.0031611619995042,1.24619653272845,0.484459509423078,3.6231895065485,0.0139199460985219,0.994164991515181,3.34863765839617,1.11233880183571,0.317360544382498,1.23930882857578,3.16468887917129,1.79856759774336,3.39802190029884,1.53781167308478,0.174518608405374,0.00769824624338236,0.178090184364456,3.76014987197175,0.333821746060704,4.69248297174853,1.3775293884418,1.01166073766308,6.28777605725482,11.4203191749947,1.13996348878829,4.04667922830957,0.458743074189671,0.937458139125477,5.42,24.93,17.18,33.76,0.63,14.18,4.26,31.28,1.68,33.76,0.813570990164542,1.06629265995501,0.0893248313452237,1.68874071365923,5.06292316272861,0.103055404938112,0.183713900942576,3.51435161121071,8.6929957525653,1.68874071365923
1991,34.23306,-87.31112,76.33,11.04,22.96,228.2,0.673333333333333,127.9,2.74333333333333,19.21,31.59,96.4333333333333,1.11333333333333,73.9666666666667,3.61666666666667,0.876666666666667,13.5833333333333,158.266666666667,0.4,127.9,1.24333333333333,8.72,23.15,75.5666666666667,0.743333333333333,47.2333333333333,1.66666666666667,10.1083333333333,22.655,148.45,0.731666666666667,94.25,2.14583333333333,8.32163450382678,0.460824292995323,3.58942524490815,1.24619653272845,1.09437638035398,1.50556854679518,2.33720340761545,0.246893335078399,0.0992547286368135,0.39996708940388,0.168356421515024,2.97201408627551,2.0546572491344,3.20133807960281,0.381785068334397,2.18165996170643,0.174518608405374,0.377214065925736,0.0381465116910833,0.0245643621830714,0.567268398856644,0.384485172116155,0.476918704059036,0.568791088545405,11.2210635837617,2.71643009404053,2.51423365640364,0.468026740103966,0.00575110309608751,1.39968664515457,5.12,26.96,18.38,32.65,-1.06,15.77,1.65,29.66,0.63,32.65,0.581843999176889,0.0741743361562549,2.61607395330789,0.139335678682285,1.65801479549253,1.38074984616129,0.762475033644648,0.577878788126058,5.4659455445242,0.139335678682285
1992,34.23306,-87.31112,147.17,7.57666666666667,22.1,82.1666666666667,0.68,95.3333333333333,-1.94,17.67,29.53,150.766666666667,0.863333333333333,77.7666666666667,-0.6,0.493333333333333,11.5733333333333,119.5,0.356666666666667,127.9,1.84333333333333,9.06666666666667,21.8866666666667,116.566666666667,0.626666666666667,110.233333333333,1.94,8.73083333333333,21.4825,115.516666666667,0.631666666666667,102.808333333333,0.193333333333333,0.403848673476948,0.00654153726317035,2.09991717932279,1.01596322099805,2.3873206500137,0.632251627154747,0.599642891285617,2.87458014942687,4.1478431646631,2.18683940479183,0.313719256539979,0.0471430405760258,1.39310319862282,0.12383536805944,0.0833782468288658,0.202699911795711,0.174518608405374,0.737936648146746,0.00554151701557265,1.11066930855954,0.281960989807322,1.14710038953663,1.52682553967155,0.758218179503134,0.218398112979639,0.497474386083392,0.0676479951686194,3.40206178341305,0.422575022456613,0.0282687690228828,3.35,25.83,16.29,31.23,-1.35,12.2,3.68,27.42,-1.06,31.23,0.00341777936540316,0.206169529812421,0.461117226517813,0.658761000959673,1.25997093107459,0.551287652845385,0.0194117294715984,0.609682768029883,1.8371046631025,0.658761000959673
1993,34.23306,-87.31112,146,7.27333333333333,20.4433333333333,122.366666666667,0.586666666666667,127.466666666667,-0.32,19.1266666666667,32.5266666666667,77.9,1.12,53.5666666666667,-1.29,-0.796666666666667,10.9566666666667,153.3,0.336666666666667,127.9,-1.54333333333333,8.38666666666667,22.25,86.5666666666667,0.666666666666667,39.4333333333333,-1.39333333333333,8.72916666666667,21.7491666666667,101.075,0.684166666666667,87.0916666666667,-0.665,0.890770107875662,2.38508404891795,0.279481645573737,6.37711033700583,1.02342678257679,0.00915135904133991,1.9716702069029,2.23121542727828,1.24816447349634,0.474347465459055,0.155113114607837,0.285963283337269,0.107931286245256,0.00793312986823281,0.251734578027329,0.000561495600542135,0.174518608405374,0.273567850293422,0.206741998355061,0.498029274453486,0.166985190910223,0.241300274151494,0.863189588787109,0.303476747397964,0.215150602611763,0.0289194049370606,1.14375637755914,0.267244257267344,0.163581907146097,0.0773098193295198,2.66,25.66,17.41,34.31,-3.06,14.21,2.62,28.54,-1.35,34.31,0.143345231615639,0.317353826555942,0.304257877356211,3.09219083529661,0.0220936918128007,0.113660833115214,0.151617724508086,0.000106486539856574,1.40848753426558,3.09219083529661
1994,34.23306,-87.31112,299.83,8.07333333333333,22.7966666666667,157.933333333333,0.843333333333333,120.433333333333,0.89,19.0266666666667,30.0333333333333,145.5,0.906666666666667,114.5,2.68333333333333,0.62,12.2466666666667,128.6,0.326666666666667,127.9,2.90333333333333,10.46,22.89,123.1,0.74,112.833333333333,3.38333333333333,9.39333333333333,21.875,143.741666666667,0.709166666666667,118.916666666667,1.80166666666667,0.0170738534053672,0.285746335951848,0.081624722492837,2.71393389500972,0.204328321604727,0.182148179574465,1.57403635683601,1.34511118643233,3.27129401723993,1.23843678311674,4.03252169743146,1.67523170529176,1.59752955074476,0.69454679171047,0.00576539034974594,0.0679409676655983,0.174518608405374,1.66825451001332,1.34244586827267,0.00854140514856048,0.54115489659064,0.326899941412975,1.72960236035647,2.20917480389581,3.4359419877129,0.00680946676421773,1.74704486162675,0.013269068893739,2.99583100793095,1.00837445921183,3.27,25.05,18.33,30.29,-0.45,13.64,6.24,27.4,-3.06,30.29,0.00913560627048682,0.912930069362849,2.44136992141379,2.54729001640933,2.67333670934888,0.000959405936139681,2.0056329893052,0.631358694809574,0.0371069631012852,2.54729001640933
1995,34.23306,-87.31112,833.2,9.49666666666667,23.3066666666667,120.866666666667,0.83,118.533333333333,1.42666666666667,19,31.6566666666667,112.7,0.96,60,0.923333333333333,-1.55,11.0333333333333,130.066666666667,0.256666666666667,127.9,2.23,8.48,21.8,137.333333333333,0.726666666666667,91.7,1.53333333333333,9.09416666666667,22,125.366666666667,0.708333333333333,99.5333333333333,1.60833333333333,1.73196983288952,0.970390869454621,0.316975016489213,2.04672715489306,0.0905108993797206,0.433633949232062,1.4755557066361,0.322434557228656,0.151330225179427,0.43884774052363,0.0196688322832989,0.234370764759093,0.0285226460620045,0.00117270257571795,0.00173297906827218,3.68397263515694,0.174518608405374,1.03393863410346,0.145972273217855,1.29261652927813,1.39579678079791,0.143249746197433,0.44754293461094,0.486250465935737,1.50703941805688,0.111171135534668,0.0852313745134553,0.0088585440606773,0.185176563724832,0.816637160462748,5.68,26.68,16.19,33.25,-2.49,12.2,1.07,28.36,-0.91,33.25,1.04574576277729,0.00852937300633185,0.622419636062063,0.763782435963641,0.223969729040082,0.551287652845385,1.35138480750023,0.0179962252357596,2.08111161220694,0.763782435963641
1996,34.23306,-87.31112,166.55,7.53,21.91,135.033333333333,0.71,112.4,1.55,18.7566666666667,30.7166666666667,120.833333333333,0.963333333333333,60.8,0.0266666666666667,1.15333333333333,12.62,168.433333333333,0.346666666666667,127.9,2.21,9.38,21.6133333333333,126.266666666667,0.63,120.133333333333,1.54333333333333,8.72083333333333,21.5691666666667,130.966666666667,0.645,105.308333333333,1.31416666666667,0.466385207814769,0.0618640883427848,0.0569466108042779,0.270641607258588,0.0350282707743915,0.506604375003361,0.723870333277345,0.187104689417404,0.549142324580701,0.402344303127235,0.0118178772915957,0.00509108813872127,2.61173620711961,1.21079374649156,0.732148201366374,0.0454811436439129,0.174518608405374,1.01740690357323,0.101287068811545,1.73135551174188,0.696918327445747,1.04593714640942,2.36649859974398,0.492216673524957,0.199277939577768,0.282341992351334,0.366984239257646,2.27202019933952,0.668789146026733,0.563649288974965,1.34,28.45,18,31.28,-0.77,13.83,3.98,27.21,-2.49,31.28,0.982212439124118,1.513344005442,1.4397254228651,0.592774451340623,2.11061098537417,0.0176965180139657,0.0834979354156203,0.856163612284547,0.274597145369973,0.592774451340623
