"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1996,42.216667,3.083333,1295,10.1233333333333,17.4966666666667,51,0.616666666666667,57.0333333333333,1.37,18.4866666666667,26.5066666666667,39.7,1.11,27.6,0.0366666666666667,6.51333333333333,13.1266666666667,52.9333333333333,0.413333333333333,104.3,1.68,11.9266666666667,19.0666666666667,81.7333333333333,0.546666666666667,33.6,0.363333333333333,11.7708333333333,18.8941666666667,63.0666666666667,0.674166666666667,51.8083333333333,0.835,1.70142140856889,0.242526071175487,0.0703368765236345,7.79500729482739,0.0861856061871008,0.114004210039026,2.48949896652128,0.60658917409122,0.360248289319613,10.9644920030687,0.0410613137610913,0.00257837142488007,2.88988199595239,1.25946590314978,0.301338562495611,9.03758031144506,0.09671975090465,0.176051028905461,0.106875175416016,0.762241788476187,0.121896557284771,0.233823132224457,0.423742046492557,0.000140226300328155,5.15795722260385,0.200507047150242,1.79716758190679,18.0273357386514,0.127378053902193,0.0364185135737042,7.4,20.54,17.48,27.39,5.75,15.58,8.68,22.35,4.73,27.39,0.168025359979918,0.141283885020012,3.45925128335249,0.00330323315513494,2.79900871660682,4.89602614490617,0.397630503613149,1.60707991803048,0.967552732355072,0.00330323315513494
1997,42.216667,3.083333,1206,10.9133333333333,19.8633333333333,14.3333333333333,0.666666666666667,44.7333333333333,-2.17,18.79,26.3133333333333,56.7666666666667,0.883333333333333,23.5666666666667,-1.37333333333333,6.19333333333333,13.5633333333333,35.6666666666667,0.37,35.8,-1.79333333333333,13.8433333333333,21.4633333333333,39.7666666666667,0.63,20.1666666666667,-1.93333333333333,12.475,20.2566666666667,37.0666666666667,0.636666666666667,42.7416666666667,-1.23,6.83068707228557,15.378656206532,2.66754658677141,15.5100928188466,0.389265654540487,0.893275399777208,4.31559496946124,0.284872604218426,3.76514597052293,0.298367608611231,0.341236804449841,0.273726369420835,1.92445734842678,2.54347470065781,0.0469205811298689,2.95590765545029,1.43799610230043,0.654270637286476,5.67246768136831,4.92267717394738,0.904328138855756,2.54728076644119,0.952579726122676,0.519837503998659,17.6186754524107,15.1138790266591,0.70966034879702,9.4239353222739,0.465183993083705,0.358994037984562,8.98,21.93,16.85,28.6,6.07,14.6,9.68,25.93,5.75,28.6,3.22476767245155,2.26054216032021,1.38331422199759,1.05912816268779,3.70003233617448,1.69578684649102,2.01767659292401,1.3013765553992,3.25205223930454,1.05912816268779
1998,42.216667,3.083333,817,10.3066666666667,18.5266666666667,35.4333333333333,0.553333333333333,23,-2.90333333333333,18.96,27.4,22.5,1.02333333333333,16.1,-3.43333333333333,5.02333333333333,12.4466666666667,40.1666666666667,0.316666666666667,42.5666666666667,-2.88,11.86,19.3066666666667,49.2666666666667,0.523333333333333,12.4333333333333,-3.34666666666667,11.6725,19.6125,36.6583333333333,0.6125,22,-2.99,2.58631347925557,3.93962770234231,0.292440107548352,1.79542350277025,1.45829231384592,1.46620117852195,5.55728286553802,3.65339945930744,0.563182567812281,5.08072957150993,1.66522928366846,1.47228558912543,0.0594754844067194,0.149267525742826,0.000292219639554445,0.0183055646302949,1.10246988310022,1.42373591715106,0.177350712361194,0.317483853600332,0.431199996328803,0.0296052172382502,1.35286174133237,1.37352681355599,4.00844041031378,5.11366884912623,0.768598811377953,5.345179995876,2.03310293713051,1.61919553286285,8.25,21.92,17.11,28.53,4.45,13.05,6.43,24.18,4.45,28.53,1.33509656669186,2.23621363252861,2.12673069517015,0.933692399760623,0.429384262174094,0.018991500706304,1.31475543992392,0.00133614844966328,0.575513872669145,0.933692399760623
1999,42.216667,3.083333,567,11.1366666666667,18.65,39.1333333333333,0.55,25.8333333333333,-3.59666666666667,19.09,27.2366666666667,23.4333333333333,0.95,17.3666666666667,-3.66,5.30666666666667,12.9333333333333,14.3333333333333,0.336666666666667,62.0333333333333,-1.99666666666667,12.78,20.33,97.1,0.543333333333333,36.7666666666667,-2.18666666666667,12.0558333333333,19.7016666666667,45.6166666666667,0.5925,33.0833333333333,-2.95416666666667,8.90223915223724,4.68094335131614,0.121943487082484,1.59646268002113,1.28030059879616,2.13776199504133,6.61259912831931,2.90469427457184,0.458549976122074,1.84817651467207,1.37035537797698,1.66234837801062,0.271191974361336,0.833624908329377,1.35133814561414,0.531863225525427,0.385417705571407,0.775782653230492,0.772647099242697,0.572557198820406,0.680931397571731,0.192768334835504,0.329855743657687,0.642936576373649,9.30720510926711,6.18248138549614,0.0155109204722387,2.83839894576311,1.05761753649095,1.58449574581905,8.44,22.03,16.7,28.48,3.68,15.09,7.02,26.15,5.03,28.48,1.74799394239307,2.51106676571257,1.0268644542108,0.848934146683307,0.00275134348351057,3.08866632967788,0.463222613570614,1.66097041743426,1.49996712996491,0.848934146683307
2000,42.216667,3.083333,1105,10.9366666666667,18.83,37.2666666666667,0.56,31.8666666666667,-2.89666666666667,18.5866666666667,26.75,27.9666666666667,0.9,19.8,-2.81333333333333,6.96666666666667,13.9066666666667,45.8666666666667,0.366666666666667,34.5,-2.25666666666667,13.1833333333333,20.2833333333333,58.3333333333333,0.556666666666667,17,-2.97666666666667,12.2458333333333,19.8958333333333,38.3,0.595,29.5666666666667,-2.74916666666667,7.03430206103542,5.87748790446049,0.198785468080839,2.22838717184466,0.939868419452527,1.46035664070826,3.03635305063297,1.18228874997745,0.103153256544847,0.561813076995685,0.884444798740235,1.011333817915,4.59236879231111,3.86668466835483,0.0555202244154067,2.62529674398345,1.5075536776522,0.946227935991528,2.09957098254089,0.485075515173318,0.141209920878537,0.380749143458878,1.10802136157496,1.11073252489932,12.7487769682358,8.86055475811165,0.545915471901603,3.10871933036279,1.33291164290846,1.39320641524655,8.22,22.49,17.49,28.33,5.98,14.89,9.02,25.35,3.68,28.33,1.27497992332958,3.83301183759902,3.49974158964702,0.618852989661825,3.43393225000808,2.47008191076279,0.808444244925687,0.563366382545168,0.0195528606283789,0.618852989661825
2001,42.216667,3.083333,669.5,11.1533333333333,18.9766666666667,31.1666666666667,0.576666666666667,23.6333333333333,-3.04,19.0433333333333,27.4066666666667,24,1.01666666666667,16.4,-3.63666666666667,4.82,12.72,17.2333333333333,0.283333333333333,10.6333333333333,-4.45,12.76,19.9533333333333,45.5333333333333,0.536666666666667,12.7666666666667,-3.82,12.0341666666667,19.6916666666667,31.95,0.614166666666667,20,-3.33916666666667,9.06781758438828,6.95303224228085,0.580172578055319,3.51520814872497,1.41750094184791,1.58858641117299,6.22321876657681,3.68578041743593,0.400264541382809,4.72072417412765,1.59279593955084,1.64225050813588,0.00204035222199498,0.465338997665107,1.06893470177003,0.730491124904716,3.07649284684687,3.05719725791359,0.723758023991556,0.0733127433966626,0.596469395200139,0.122539549591378,1.33416397835202,1.75035730389727,8.94906637615204,6.05756846658632,1.61802536027293,5.58959296952112,2.24278175808643,1.97699126276159,9.37,21.93,17.04,28.61,2.58,14.81,7.48,23.05,2.58,28.61,4.57036802532461,2.26054216032021,1.91091327903629,1.07769272011728,0.654027259183738,2.24198250270889,0.10065671471252,0.634848237577396,0.553775555561494,1.07769272011728
2002,42.216667,3.083333,1181,10.8566666666667,18.38,66.9666666666667,0.596666666666667,8.93333333333333,-3.94666666666667,18.2766666666667,26.1833333333333,54.4,0.896666666666667,7.66666666666667,-2.3,5.32,12.2466666666667,52.0333333333333,0.32,38.3666666666667,-0.58,13.15,20.6066666666667,66.2,0.59,18.0333333333333,-1.40666666666667,12.1841666666667,19.7708333333333,53.3916666666667,0.595833333333333,12.3333333333333,-2.775,6.34864318730729,3.14119733921322,1.19226733045791,5.44485558031918,2.51343720032451,2.52472091842701,1.51769368788111,0.136104496125731,3.07845107971391,0.502510289551821,4.36040756123692,0.694992449717809,0.284932659998366,0.0288687650906237,0.259121416991142,0.0548949145159534,1.30548809337794,0.144199595197795,1.96527691780783,1.24006885005379,0.01744384373252,1.12792005413886,1.05600760427061,0.305747556825269,11.5725501704634,7.08136454706278,0.279056067484783,3.20155801390646,3.14186042576109,1.41663457544128,9.29,19.99,17.36,26.68,3.85,14.04,9.92,23.74,4.57,26.68,4.27526767616564,0.00494321754948127,2.99174373596578,0.483126881261138,0.0344264228392303,0.611451517185354,2.59215866187296,0.110601700768235,0.731130773746374,0.483126881261138
2003,42.216667,3.083333,529.5,10.75,19.1066666666667,27.7666666666667,0.663333333333333,41.7666666666667,-0.84,20.5066666666667,29.7466666666667,16.6666666666667,1.33666666666667,22.8333333333333,-2.90333333333333,5.68666666666667,12.8066666666667,65.4666666666667,0.346666666666667,106.7,0.16,13.2066666666667,20.22,86.9666666666667,0.67,45.0333333333333,-2.11,12.3425,20.2591666666667,50.6166666666667,0.7525,43.3333333333333,-1.55583333333333,5.48911221144985,7.98186219289736,0.879339205234514,14.9139890622343,0.495034002996711,0.214540317770543,24.0563824170598,23.8772900995227,1.46054037424966,36.9214763867693,0.427090800475167,1.07289165683539,0.795864888591918,0.602098039542118,1.22021928629603,1.05326146139606,0.13242961709105,0.0139267810068401,2.19621744148642,0.377944167781129,0.261388785678355,4.53692033636499,0.140101726781042,0.604303851018137,14.707134588496,15.1629943260291,0.0871811249014695,44.9225976388527,0.436690984814109,0.523906211167053,8.17,22.25,19.59,30.5,5.04,13.19,9.78,24.98,3.85,30.5,1.17786289900872,3.10855259342413,17.2222330795852,7.48236825888377,1.24808209499523,5.99403506700857e-05,2.24830959844977,0.251658423395777,0.076423811445364,7.48236825888377
2004,42.216667,3.083333,393.5,9.62666666666667,17.1533333333333,59.3,0.526666666666667,99.6,2.70666666666667,19.2366666666667,27.5633333333333,22.3666666666667,1.11333333333333,37.6666666666667,2.09,4.4,11.4166666666667,36.1,0.283333333333333,22.2,-2.32333333333333,13.2166666666667,20.7066666666667,41.9333333333333,0.646666666666667,22.9,-0.863333333333333,11.93,19.5008333333333,44.2916666666667,0.66,60.25,0.911666666666667,0.231667949418338,2.49070828355505e-05,0.482964374266001,0.530795807488161,0.721866776517469,0.675697772997135,7.9132824049208,4.4878609648753,0.57900708938018,11.2354329910557,0.561877252902989,0.405995569598623,0.133422925288909,0.530467804119076,0.0389662969665751,0.730491124904716,2.24697906532663,0.992656052605432,2.23830305337881,1.54402227474818,0.781172868853586,3.30699253162905,0.827851178743161,0.144075793589582,7.32533956970301,3.9181020127598,0.0555977694455143,14.4520674954442,0.00293445791110147,0.0484732276870345,6.96,20.28,17.83,28.54,3.32,12.51,7.49,25.45,5.04,28.54,0.000574786437402926,0.0272096338781362,5.0165888786333,0.951127922420292,0.0526175287850072,0.408958626937707,0.0957071515641764,0.66888434246399,1.51971632001696,0.951127922420292
2005,42.216667,3.083333,875.5,10.0766666666667,17.9066666666667,26.6333333333333,0.526666666666667,19.4666666666667,-3.14666666666667,19.42,27.7,21.4666666666667,1.13666666666667,14.3333333333333,-4.13333333333333,3.54,11.0966666666667,26.0666666666667,0.306666666666667,80.0333333333333,-1.49666666666667,13.03,20.09,97.4,0.53,45.7,-2.44,11.4275,19.1025,41.55,0.606666666666667,29.6666666666667,-2.995,1.50565255303124,1.18053354941338,0.992834827055373,0.530795807488161,1.69648413035146,1.68751480412747,9.7032469773034,5.25198157154809,0.691557423157271,13.2246116197025,2.12444967315147,2.09643768805899,1.45370870235618,1.15485483990605,0.412482741544547,0.0261461396057931,0.050171117745684,0.495537737865221,1.51856497531704,0.199869398272864,0.696355984119088,0.0681518437256276,0.128285948003977,0.779104464404021,1.77389644014348,0.948199247215741,0.217143095599808,4.53276183478249,1.32464397747641,1.62406724468153,6.56,21.9,18.86,28.45,2.45,11.95,7.7,24.51,2.45,28.45,0.10684702007502,2.1879514493532,11.2739589286585,0.800014683013753,0.829000201414211,1.34506386665033,0.020590252018723,0.0343946205363269,0.72017765853111,0.800014683013753
