"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1992,32.5785,-106.789,26.394,5.61666666666667,24.96,22.5666666666667,1.50333333333333,5.06666666666667,7.08666666666667,15.3233333333333,34.27,28.2333333333333,2.41333333333333,3.1,5.37333333333333,-2.19,14.0766666666667,29.7,0.556666666666667,1.8,3.13333333333333,4.94333333333333,25.4866666666667,14.4666666666667,1.42666666666667,2.26666666666667,2.34333333333333,5.55666666666667,24.4175,22.8416666666667,1.46166666666667,4.80833333333333,5.05,1.63053700978132,0.0190042008403945,19.4443298342205,0.123765905890412,42.021280802591,9.14259918962568,2.38754044229299,0.126982621057247,0.904731729257167,0.271641544739778,24.9337753202402,6.05707181479659,4.3608239373032,0.144664933846453,4.07385822583826,0.926903089027678,1.02864030496755,1.55968783645679,0.872387949729725,0.533818764676854,0.620659086536417,2.83601449201165,19.0519121633018,1.10314105943277,0.00383854920513004,0.0787226286705215,0.0619373731563257,0.219539065387213,47.4060769549346,6.57942172599934,0.98,27.73,12.98,35.22,-4.16,16.49,-3.1,32.35,-5.41,35.22,0.262753419804126,2.88136239145398,1.50005112515186,0.002118982113166,1.97961048095106,0.00238465564544609,2.94364474339567,4.38217875233901,0.0227271113539133,0.002118982113166
1993,32.5785,-106.789,82.638,5.15,25.86,3.4,1.61333333333333,1.5,2.27,16.69,34.7766666666667,50.2,2.51,1.23333333333333,1.51,-4.24,15.6133333333333,7.66666666666667,0.69,0.966666666666667,-1.63,4.98666666666667,24.7966666666667,12.4,1.31333333333333,1.06666666666667,-0.593333333333333,6.1075,25.1058333333333,21.8583333333333,1.5125,1.325,1.2575,0.468381874445878,0.862430091447101,0.967443959658747,0.421223500754855,1.86587516633771,1.06176837288294,0.58604929750541,1.12507945174686,0.562721583873827,1.81474786237529,2.07872483386964,0.583765995417042,0.00220075838240297,0.67026722458618,0.480163033164015,1.07339463935832,0.0612168424209394,0.233453993131088,0.783857695082616,0.00768989521021967,0.885665119804538,0.301933007723841,2.34148393089179,0.00957033357459586,1.0317536457326,2.4633952485076,0.00524006726367049,3.16708338112168,1.62851221991311,0.550233589021473,0.84,30.36,14.36,35.39,-5.18,16.83,-1.94,31.15,-4.78,35.39,0.169035035657652,0.456860833344799,0.000845329905253367,0.0653539760738423,0.280845521383287,0.0400860613999491,0.755655036421828,0.965948385846866,0.422177662270434,0.0653539760738423
1994,32.5785,-106.789,37.028,6.23333333333333,26.28,10.9666666666667,1.67333333333333,0.866666666666667,-1.19,18.4366666666667,36.7,25.7333333333333,2.83666666666667,0.8,-1.51333333333333,-1.47333333333333,16.2866666666667,24,0.686666666666667,0.7,0.84,6.76333333333333,25.5066666666667,20.3666666666667,1.38,0.7,-2.67,7.02666666666667,26.0783333333333,18.3583333333333,1.64333333333333,0.808333333333333,-1.7075,4.24329018675301,1.68407288447632,1.31225824700827,1.42783324664121,0.209259283593648,0.161129314373246,13.8289732234918,13.9461367395644,1.31056529594948,17.124789454105,0.381060522000715,0.318128956509689,7.85064358762438,1.8065895676833,1.73439677337373,0.972348763164338,4.18119270684654e-06,0.172201540945059,1.23141449881843,0.561397851619279,0.122663455105872,1.48078272563133,0.440955855977841,0.827611684504479,7.9192034707906,17.5008154343565,0.308885519520898,26.5642269118528,0.197281324684405,0.467390248288366,2.42,30.7,17.42,37.66,-3.27,19.9,0.56,32.22,-5.18,37.66,2.42158132670001,0.965775205999807,7.89233020243967,9.33045123433318,4.71864705712559,5.99746260304899,0.911832516706258,3.89295414595422,0.110841449490083,9.33045123433318
1995,32.5785,-106.789,0,5.11333333333333,25.2366666666667,2.03333333333333,1.57666666666667,0.6,0.556666666666667,16.7033333333333,35.1533333333333,33.8,2.54666666666667,0.6,-0.876666666666667,-2.38666666666667,17.31,7,0.77,0.5,-2.42666666666667,6.78666666666667,27.02,22.1666666666667,1.49666666666667,0.533333333333333,-1.33666666666667,6.67666666666667,25.9658333333333,17.65,1.5825,0.591666666666667,-0.326666666666667,0.406823980817007,0.145129182248228,1.87181536311806,0.0994836532484171,0.00561198700310031,0.10330002418499,0.621073292256846,2.51009298007231,0.270436103494486,2.75696416734028,0.056061446659516,0.0808591357605634,3.58126144511676,4.59070031232697,0.600585983269467,4.99670470548616,0.033119227430931,0.597304943733154,1.29025190986245,4.66291268682361,0.0469730575845984,5.68730157104875,0.0730850454790563,0.150889713562788,4.53404966207824,15.0623247074933,0.466356412544177,12.8525977749742,0.00907709091496142,0.000392743784437914,2.39,29.66,14.22,35.74,-4.62,19.84,1.14,31.04,-3.31,35.74,2.3543910431467,0.00195529573184512,0.0096288359520264,0.472241110638899,1.02305032345245,5.78413130900737,1.89918654706442,0.77620919727068,3.29087904618323,0.472241110638899
1996,32.5785,-106.789,57.106,6.03666666666667,26.81,2.86666666666667,1.76666666666667,0.5,-2.49,17.7766666666667,34.6633333333333,50.9333333333333,2.43333333333333,0.466666666666667,-0.7,-3.75,14.7766666666667,8.6,0.616666666666667,0.4,-1.45333333333333,6.41,25.3166666666667,24.9,1.30666666666667,0.4,1.27666666666667,6.90916666666667,26.0225,20.9166666666667,1.5675,0.458333333333333,-1.0375,3.27686493412811,3.10965274413944,1.28518006483194,4.1783502277254,0.00469740333577748,0.882435162114889,6.77472987916251,0.815671495635775,0.651159398636008,0.478968066390134,0.000286027789079163,0.0427464484382331,0.286057898402855,0.0275079321221994,0.334183856389387,0.00400632194464857,0.0750774962441355,0.175503314947296,0.508265327828863,0.32744060211147,0.000196261528169398,0.233043049397758,0.00199091131524624,0.401038617836836,6.67818509477667,16.2677448847616,0.00933493233985866,10.2283289368047,0.0142629710647508,0.130721302919741,0.23,33.25,16.97,36.21,-4.24,15.74,0.36,29.72,-4.62,36.21,0.000956043289161081,10.7841123411177,5.76224743434859,1.60456204192482,1.79077667140374,0.357847387794758,0.654423633292012,0.11598465231444,0.602923306702402,1.60456204192482
1997,32.5785,-106.789,71.196,5.65666666666667,24.75,13.3,1.52666666666667,0.4,0.296666666666667,16.72,33.7866666666667,43.5666666666667,2.26333333333333,0.4,1.67333333333333,-3.75666666666667,13.5233333333333,18.3666666666667,0.56,0.333333333333333,1.66666666666667,6.49333333333333,25.0533333333333,25.8333333333333,1.27333333333333,0.4,1.23,6.14083333333333,24.1408333333333,26.3583333333333,1.4025,0.4,0.76,1.76282450043156,0.00217789035343384,3.24755358045944,0.0194625934054783,0.0449390846979815,0.045714289838538,0.666282620427543,0.0995831435013917,0.0558826252579754,0.578251189433972,0.0206655077609695,0.698551730627634,0.279000820749065,0.659521631472728,0.389068500312728,0.833181790350232,0.112457359043343,0.512032751677025,0.650448187768477,0.106832345854375,0.00304850519014676,0.0222160217619093,0.00199091131524624,0.378263223328259,1.16849531547767,1.04898102651632,0.774446580690395,1.1182245670375,0.0455223041898707,0.252608778296493,2.39,29.73,14.39,34.57,-5.58,15.63,-0.63,31.68,-5.58,34.57,2.3543910431467,0.0115322544184336,0.00317328921464264,0.570666343264669,0.0346005557071504,0.460739317256644,0.00749746558383614,2.17065605685448,0.000259377137684866,0.570666343264669
1998,32.5785,-106.789,29.7275,4.58666666666667,24.1466666666667,5.06666666666667,1.49,0.3,1.17333333333333,17.23,34.2133333333333,37.7,2.30666666666667,0.3,-0.353333333333333,-2.31333333333333,16.6233333333333,6.26666666666667,0.703333333333333,0.3,-0.256666666666667,8.02333333333333,25.8733333333333,28.5,1.30333333333333,0.3,0.326666666666667,6.68166666666667,24.7508333333333,19.6666666666667,1.42583333333333,0.3,0.5975,0.000954609519113743,0.332706427747146,0.264830525670474,0.223838219808939,0.126337031089712,0.332461335182048,2.81752668015438,0.0770451406466822,0.0475149045288464,0.152242233366806,0.111568714477691,0.00296699301448754,3.86297751713546,2.58178132727708,0.748597633829407,1.5275184453833,0.133969595520068,0.000262482479697543,6.37343416100714,1.19011125170105,0.0640050268804059,0.201938639334581,0.078871777329599,0.0685704169627072,4.57580584692185,0.378661591843463,0.103016211369007,0.207620649666757,0.140164616923529,0.180182777337019,0.58,30.85,15.09,35.2,-3.65,19.43,1.08,32.62,-3.91,35.2,0.0496043153944829,1.25015224455055,0.47933177490814,0.000456770378986133,3.405889317972,4.42976017353714,1.78043487023724,5.49075783922731,1.79250033056409,0.000456770378986133
1999,32.5785,-106.789,68.8925,5.75333333333333,24.4966666666667,5.36666666666667,1.5,0.3,-1.09666666666667,16.5733333333333,33.1433333333333,55.7666666666667,2.21333333333333,0.3,1.15333333333333,-2.44666666666667,16.72,4.96666666666667,0.7,0.3,-1.68333333333333,6.54666666666667,26.27,18.7333333333333,1.35,0.3,0.76,6.5225,25.0933333333333,21.7583333333333,1.44083333333333,0.3,-0.0325,2.10381840101408,0.0725051310305198,0.185073930605312,0.146024637478909,0.126337031089712,0.131613390794665,0.322945830282536,1.46387957469057,1.39543865363387,1.41047736788962,0.111568714477691,0.368899561914262,3.35869907896042,2.82986534872861,1.05100886994231,1.40649644868969,0.133969595520068,0.252570434067631,0.75063608258577,2.13315755568042,0.222192497690573,0.840061572277459,0.078871777329599,0.186000383657672,3.34049744576431,2.35906043666927,0.0029638000826757,0.00473040996036727,0.140164616923529,0.0147875699052883,2.35,29.11,14.83,33.39,-5.06,19.91,0.9,30.06,-5.06,33.39,2.26627447514766,0.204406990416022,0.208033708440888,4.88576800519682,0.400852975832497,6.03339340198674,1.44718052321577,0.000671461243313677,0.183163128579253,4.88576800519682
2000,32.5785,-106.789,36.7975,7.28666666666667,26.7666666666667,3,1.7,0.3,-2.02,17.6233333333333,34.0433333333333,46.4333333333333,2.33333333333333,0.233333333333333,1.53333333333333,-3.2,13.6966666666667,11.8333333333333,0.583333333333333,0.2,1.29,6.42333333333333,23.3933333333333,26.0333333333333,1.21666666666667,0.2,-0.673333333333333,7.285,25.1908333333333,19.7666666666667,1.4875,0.25,-0.51,11.54214607729,2.9768134809221,1.2015233200706,2.06653007370945,0.126337031089712,0.554850652108956,5.49237310881644,0.00170087195705282,0.21014781313926,0.0263538289844293,0.212393510128096,0.599533613080315,1.17185408848461,0.458138049696846,0.0324747883722964,0.31696554310556,0.209795525258729,0.334779043696434,0.52983770643399,1.48821389959195,0.00490653820423487,0.174917147060128,0.267353900461561,0.0166681696933204,11.0193370261968,3.23274270250244,0.0918174063228865,1.28785411171006,0.206932823852068,0.0116545129405728,1.81,32.76,16.01,35.27,-4.3,16.42,-2.01,32.93,-4.3,35.27,1.2411841337894,8.07542919259419,2.33549133092776,0.0115956160854751,1.65536165565141,0.0100215153499873,0.847065005734667,6.91756159392897,1.06077658297176,0.0115956160854751
2001,32.5785,-106.789,1.7375,6.81666666666667,25.3666666666667,8,1.60333333333333,0.2,1.16333333333333,17.6866666666667,34.7433333333333,26.0333333333333,2.41666666666667,0.2,-1.07,-3.58,14.7166666666667,10.3333333333333,0.62,0.2,-2.31333333333333,7.99,26.1433333333333,15.6,1.36,0.2,-2.01666666666667,7.30166666666667,24.9875,15.0583333333333,1.48916666666667,0.2,-0.476666666666667,7.84336290314062,0.245210299512925,0.0965786542660039,0.311401494487648,0.24889124251097,0.327706287926835,6.00574779367369,1.02892360496386,1.25790624119956,0.302140281883959,0.274872705305076,0.136370617967105,0.495793688053352,0.0141699748176874,0.133072145676763,0.00017756551555231,0.209795525258729,0.535304029369707,6.18584338688809,1.80232299111474,0.495282604423498,1.0335918754629,0.267353900461561,0.428110214069648,11.2368902581552,1.56616570044631,1.318002004137,1.38726663353341,0.286665731155081,0.00845129462328359,2.11,31.27,16.19,35.59,-4.56,16.58,2.4,31.81,-4.56,35.59,1.77286650888218,2.24136746861246,2.86210544534107,0.252251441795096,1.13007520705316,0.000292120316567151,5.27849807364788,2.5396342875234,0.678984031657043,0.252251441795096
