"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1973,38.95,-106.983333,170,-11.56,2.40666666666667,38.6,0.29,68,0.916666666666667,1.34666666666667,16.9233333333333,55.5666666666667,0.786666666666667,75.7666666666667,1.64,-22.3,-5.13333333333333,61.1,0.0966666666666667,22,0.08,-6.01666666666667,9.21333333333333,19.1666666666667,0.393333333333333,23.9666666666667,-0.62,-9.46083333333333,6.0175,38.65,0.388333333333333,50.9666666666667,0.5775,0.772285989784213,1.48350603397516,0.00026858177430196,0.0417644360176191,1.94883398808109,0.0551733288436015,0.902585639963341,1.44836094441804,0.279914899454925,0.06020496939028,0.883583812128705,0.340499906712121,2.34480855395144,1.60488725980678,0.801765494236374,1.48020359427565,0.193157540327993,0.000127558394807817,0.0206001578898133,0.0870624334227657,1.75946226210158,0.818348161826422,0.0995428797675431,0.0368116968523463,1.55685655733519,1.49012683631014,0.437464949890229,0.869464551964957,1.44453825048292,0.0442112355351322,-16.18,8.26,-1.55,18.57,-25.72,-2.89,-11.36,14.17,-24.27,18.57,0.0183027709045519,0.21511229812375,0.686811996670837,2.76427295533098,3.63448014928094,0.976595171621101,0.381053056732111,0.324239635770949,1.55540358835774,2.76427295533098
1974,38.95,-106.983333,167,-10.64,5.25333333333333,29.2,0.303333333333333,53.8666666666667,0.11,1.10333333333333,17.9266666666667,38.8,0.893333333333333,37.8666666666667,-2.40333333333333,-21.83,-5.02333333333333,53.8333333333333,0.133333333333333,17.3,-2.62333333333333,-6.08,8.97666666666667,29.9333333333333,0.516666666666667,18.3666666666667,-3.04,-9.63916666666667,6.5725,37.4,0.448333333333333,32.6333333333333,-1.4575,0.0774029453549912,1.04410167234387,0.751185696022464,0.325342072421504,0.000211025515294875,0.00663145957748111,1.73755191430094,0.000217385422077627,0.258926272191601,1.67492956172628,1.39742730281299,0.931593688627522,1.62864710273187,1.46007022869345,0.192768508667973,0.149855322560965,0.844806659136466,0.900856745679669,0.0458974445959674,0.0168713992254984,0.442403943570236,1.29117424878294,0.938588524187555,1.24446943962704,2.22129797940511,0.282159133445325,0.705581217541455,0.595243466236104,1.25498761595521,0.498645813112415,-14.14,11.51,-0.9,19.1,-23.05,-4.2,-12.68,15.63,-25.72,19.1,1.4002924778523,2.33301772333904,0.00643613522260916,1.0366421966003,0.529144287330253,2.92127749269059,0.107572651676555,0.0915843384132726,3.60702933003076,1.0366421966003
1975,38.95,-106.983333,181,-12.1133333333333,1.48666666666667,43.2333333333333,0.26,29.5333333333333,-0.166666666666667,0.493333333333333,17.09,39.0333333333333,0.723333333333333,75.2,1.91666666666667,-20.0533333333333,-2.70333333333333,34.1,0.0933333333333333,21.9,-1.95333333333333,-8.13333333333333,9.01,29.6666666666667,0.466666666666667,23.8333333333333,-1.4,-10.2458333333333,5.79583333333333,39.4833333333333,0.3925,36.85,-0.446666666666667,2.47962339142253,3.7708366121692,0.204009797190535,0.383397336567181,5.96843954321397,0.0360715049458152,5.02197704529456,1.01206507498009,0.244435118292953,1.34439247487768,0.824940309781415,0.475403505326213,0.0972815772596251,0.000657864561096938,0.640374497588857,1.66938677683069,0.202231847515185,0.513656446925017,6.28358528592512,0.0234560932426677,0.464461049251405,0.0954171562867215,0.109600071825829,0.239691857269261,5.363412205887,2.23832053719508,0.294154015053268,0.662790571911962,0.343592215887675,0.0629729521585323,-16.79,6.55,-2.57,19.38,-22.93,-0.28,-14.94,15.2,-23.05,19.38,0.0317197196128228,2.28460845647698,4.01335134690494,0.459263740818065,0.454861102208334,0.20084802041093,3.78852208197876,0.00209695788697294,0.487942084691392,0.459263740818065
1976,38.95,-106.983333,161,-11.24,3.97333333333333,38.1666666666667,0.316666666666667,53.8,-1.48333333333333,1.14333333333333,17.7666666666667,43.3333333333333,0.876666666666667,46.0666666666667,-1.82666666666667,-20.33,-1.18333333333333,14.2333333333333,0.206666666666667,19.9,-4.69333333333333,-7.46,8.95333333333333,24.2666666666667,0.556666666666667,20.6,-1.76333333333333,-9.5125,7.16333333333333,33.0583333333333,0.4725,35.425,-1.925,0.22691801156384,0.000215715299827762,0.000591546754232548,0.876867081805436,0.000448599838207091,0.49877303745094,1.58168327024057,0.0417424374761147,0.0520835080518515,1.11014630408582,0.522713011348319,0.553998630432867,0.21349999354414,0.695756478486795,4.19387691587783,1.61782582928062,0.427457957042741,2.77975343264541,3.07987108277802,0.0129061506091317,1.02656177282552,3.23359493033406,0.501638007599883,0.394716539826014,1.73724088942238,0.0411493677680401,2.13232410967881,2.12530302913251,0.58777049654755,0.840294791915389,-18.78,9.22,-1.97,20.61,-21.6,1.08,-14.15,14.54,-22.93,20.61,1.44111519392206,0.0154691181615913,1.72238720013137,0.669008963444903,0.00759297627939007,1.43190886792214,1.9062724759714,0.121397609241103,0.415463958902532,0.669008963444903
1977,38.95,-106.983333,156,-11.2233333333333,4.93333333333333,26.8,0.25,30.0333333333333,-6.55666666666667,2.70666666666667,18.9633333333333,49.7,0.893333333333333,25.3333333333333,-5.94666666666667,-16.8666666666667,-2.05666666666667,64,0.236666666666667,14.5,-2.72666666666667,-5.14666666666667,9.9,36.2333333333333,0.453333333333333,15.2333333333333,-4.51,-8.04833333333333,8.17583333333333,38.3666666666667,0.451666666666667,22.175,-5.41416666666667,0.207388030732453,0.592948530989814,1.19286057311074,0.798715764686256,5.72710977525943,7.26669139754469,1.22628465644579,1.47254229985096,0.0275233993610764,1.67492956172628,3.54908772917336,5.39350053362308,2.00976340943092,0.136606947332377,1.16108965557325,3.8049957294009,1.45172298436645,0.970191788797535,0.685245324251753,0.599539246637391,0.0773810335570121,0.00778915561524264,1.78048115240594,2.81113796396331,0.454644822861055,2.13382844668027,0.492648022047947,0.750276955880193,5.97775271682712,6.18983625290837,-18.45,9.41,0.48,19.64,-18.88,-0.97,-11.16,16.27,-21.6,19.64,1.06281002834371,0.0579773794787447,2.27687230966922,0.130713162285327,1.24088311907354,0.00468207412789786,0.578388902564276,0.469084326111192,0.00215933404275472,0.130713162285327
1979,38.95,-106.983333,175,-10.6233333333333,3.14333333333333,40.5666666666667,0.293333333333333,52.1333333333333,2.23666666666667,1.41,17.8266666666667,35.1,0.796666666666667,63.6,1.91333333333333,-17.5633333333333,-1.47333333333333,64.7666666666667,0.126666666666667,19.1,-2.14,-6.95,9.41333333333333,20.6666666666667,0.56,20.4666666666667,-2.45666666666667,-9.47583333333333,6.30666666666667,36.6666666666667,0.449166666666667,38.875,0.625833333333333,0.0895052070219516,0.407517292993105,0.040461377394089,0.0875387789017109,0.0351624877047294,0.566272527221557,0.729715270599732,0.0177482442369574,0.544483839799739,0.0102077629762067,0.0669505499888598,0.473644490410841,1.08065563819157,0.462226434361129,1.26717059448515,0.289373180637626,0.540876382605076,0.610674584375297,1.40555227730593,0.188917727726707,1.5235307652209,3.43501762632197,0.523913841172446,0.797278185821305,1.60820784776778,0.742100563214333,0.892560648719491,0.632321562386532,0.10868572429837,0.0538381217198298,-15.95,8.04,-1.4,20.35,-19.05,-0.26,-15.78,18.55,-23.74,20.35,0.0642371244821823,0.358313035736498,0.430344952224202,0.251785607866676,1.07927455373786,0.210834811936744,6.49206419604282,4.18909554560819,1.01771592991761,0.251785607866676
1980,38.95,-106.983333,174,-11.6766666666667,2.74,48.8666666666667,0.283333333333333,51.9333333333333,2.31333333333333,1.74,19.3733333333333,29.2,0.88,63.6666666666667,1.42666666666667,-15.8866666666667,2.61666666666667,20.6666666666667,0.213333333333333,21.3,-3.77333333333333,-6.40666666666667,9.8,28.7333333333333,0.533333333333333,21.9333333333333,-1.85333333333333,-7.98083333333333,8.07166666666667,43.375,0.470833333333333,39.3416666666667,-0.0408333333333333,1.05169241620757,0.9134013130018,0.962178586656087,0.000455882683195207,0.043046708868208,0.612423080501332,0.126029420997491,2.8874354553367,1.21688036356486,1.21384421368538,0.0688962143084947,0.251814082672923,3.80076699229785,8.15272930467484,2.70231202933654,2.02424741585177,0.26105168721671,1.81735420637933,0.335181031308803,0.496330933014854,0.545886332650337,1.9940238375021,0.305494534578614,0.439061245424121,0.586942941774586,1.77248847901392,0.000185274918931806,1.98953670727656,0.0732058860925709,0.00464944657352545,-17.35,7.29,-1.07,21.31,-18.3,3.28,-12.39,16.7,-17.38,21.31,0.216970389777655,1.11958779687379,0.0761711247639765,2.78587930562928,1.87707393405687,5.79544621017355,0.014474030438584,0.886862554053972,3.42712826780484,2.78587930562928
1981,38.95,-106.983333,159,-9.35,5.20333333333333,41.9666666666667,0.286666666666667,50.9666666666667,-4.46333333333333,3.21,18.57,60.9666666666667,0.826666666666667,40.6666666666667,-2.05666666666667,-18.79,-2.41333333333333,51.1666666666667,0.166666666666667,39,1.98,-4.64,9.27666666666667,43.2333333333333,0.433333333333333,33.2,0.716666666666667,-6.92083333333333,8.5175,45.1083333333333,0.4325,38.0083333333333,-2.0025,3.61207407476684,0.965251401874301,0.110672917990585,0.0127368039447808,0.0923869115714136,3.51490045720948,3.49250834679893,0.558708331791578,0.74537243175524,0.110202175804353,1.05134057825461,0.692902341551904,0.139706532851887,0.0323628178544479,0.0737571832374438,0.134690337987415,1.67795580739221,0.419714723938292,1.94175909889917,0.115100601755601,0.0230375208522666,0.0589054893402719,0.580139754912898,0.101334601639389,4.87739744106995,3.55414060558807,0.068245827175015,0.103594632386455,0.193115974016374,0.905497276261465,-14.91,7.8,0.92,19.62,-20.67,-1.51,-10.66,16.32,-18.3,19.62,0.620552206922469,0.555974198569069,4.06271749568777,0.14888930733556,0.104670429410423,0.0523303366483502,1.25121798190888,0.510884743725803,2.06649166677901,0.14888930733556
1982,38.95,-106.983333,175,-10.4066666666667,3.69666666666667,38.7666666666667,0.26,65.2,1.84,2.41666666666667,17.5966666666667,47.5666666666667,0.743333333333333,71.0666666666667,1.85666666666667,-17.1466666666667,-1.11666666666667,25.9333333333333,0.05,38.7,1.32333333333333,-5.82666666666667,6.93333333333333,52.8,0.34,38.7,3.05666666666667,-8.21583333333333,6.36833333333333,43.4166666666667,0.368333333333333,53.4666666666667,2.2075,0.326793888341026,0.0412085009437544,0.0010269610794022,0.383397336567181,1.24670890000998,0.356365010579619,0.447109266516385,0.164611298305174,0.00114519032513971,0.758314110801597,0.458093639548554,0.4442400554867,1.60197480697655,0.756168420449788,1.72427125412767,5.16377834719099,1.59957795441882,0.176436204453423,0.00470602352381077,1.68009655498368,0.546693408988356,3.19404062447541,1.96926924518891,1.46770748187818,0.199231261229454,0.615972486236197,0.000382756196580172,2.25132374867703,2.3059834931367,0.89169481684587,-14.35,7.79,-1.7,19.69,-17.66,-0.24,-12.57,13.66,-20.67,19.69,1.15659669931432,0.565148535434057,1.00295337927724,0.090447678266779,2.73132536323997,0.221063903297393,0.0621054061165768,0.763946731446686,0.138197378736296,0.090447678266779
1983,38.95,-106.983333,178,-10.8633333333333,1.81,58.4,0.256666666666667,52.4,2.08,2.71666666666667,17.38,63.9,0.65,82.8,4.26666666666667,-21.2566666666667,-5.21666666666667,59.6,0.09,26,4.94333333333333,-5,9.33666666666667,43,0.373333333333333,28.9666666666667,3.35666666666667,-7.56666666666667,6.6575,58.275,0.35,49.6583333333333,3.07916666666667,7.04891329746839e-06,2.84752147522851,3.52137008578317,0.50509010179562,0.0258897110265902,0.477586073491896,1.26001856130263,0.438809111103398,1.09188617772732,4.91919273348392,1.77903854153298,2.52687176670506,0.931241031207626,1.71915506074293,0.641938975317845,1.86994369781589,0.000979404948130525,2.80861973587895,0.983158316087433,0.145267520483028,0.0188923119458103,1.52667450058754,0.0717182505766146,1.75826888816264,1.76806496743596,0.181121929293805,4.58925747263879,4.08484120423661,1.07365294672462,1.78711454216242,-13.85,6.19,-1.18,19.72,-24.35,-4.06,-11.57,17.14,-17.66,19.72,1.77509603976777,3.00002654857062,0.1621375342848,0.0698368760433332,1.69382933811134,2.66383795650818,0.218004826940325,1.45092440563184,2.97678241329385,0.0698368760433332
