"year","latitude","longitude","response","mean.prox.spring.tmin","mean.prox.spring.tmax","mean.prox.spring.ppt","mean.prox.spring.vpd","mean.prox.spring.soil","mean.prox.spring.PDSI","mean.prox.summer.tmin","mean.prox.summer.tmax","mean.prox.summer.ppt","mean.prox.summer.vpd","mean.prox.summer.soil","mean.prox.summer.PDSI","mean.prox.winter.tmin","mean.prox.winter.tmax","mean.prox.winter.ppt","mean.prox.winter.vpd","mean.prox.winter.soil","mean.prox.winter.PDSI","mean.prox.fall.tmin","mean.prox.fall.tmax","mean.prox.fall.ppt","mean.prox.fall.vpd","mean.prox.fall.soil","mean.prox.fall.PDSI","mean.prox.annual.tmin","mean.prox.annual.tmax","mean.prox.annual.ppt","mean.prox.annual.vpd","mean.prox.annual.soil","mean.prox.annual.PDSI","mean.dep.spring.tmin","mean.dep.spring.tmax","mean.dep.spring.ppt","mean.dep.spring.vpd","mean.dep.spring.soil","mean.dep.spring.PDSI","mean.dep.summer.tmin","mean.dep.summer.tmax","mean.dep.summer.ppt","mean.dep.summer.vpd","mean.dep.summer.soil","mean.dep.summer.PDSI","mean.dep.winter.tmin","mean.dep.winter.tmax","mean.dep.winter.ppt","mean.dep.winter.vpd","mean.dep.winter.soil","mean.dep.winter.PDSI","mean.dep.fall.tmin","mean.dep.fall.tmax","mean.dep.fall.ppt","mean.dep.fall.vpd","mean.dep.fall.soil","mean.dep.fall.PDSI","mean.dep.annual.tmin","mean.dep.annual.tmax","mean.dep.annual.ppt","mean.dep.annual.vpd","mean.dep.annual.soil","mean.dep.annual.PDSI","min.prox.spring.tmin","max.prox.spring.tmax","min.prox.summer.tmin","max.prox.summer.tmax","min.prox.winter.tmin","max.prox.winter.tmax","min.prox.fall.tmin","max.prox.fall.tmax","min.prox.annual.tmin","max.prox.annual.tmax","min.dep.spring.tmin","max.dep.spring.tmax","min.dep.summer.tmin","max.dep.summer.tmax","min.dep.winter.tmin","max.dep.winter.tmax","min.dep.fall.tmin","max.dep.fall.tmax","min.dep.annual.tmin","max.dep.annual.tmax"
1975,64.730765,-148.303315,250,-8.16,5.22333333333333,12.9666666666667,0.393333333333333,21.3333333333333,0.85,8.51666666666667,21.1966666666667,48.5333333333333,0.8,13.8333333333333,-0.76,-28.48,-17.8633333333333,6.83333333333333,0.0566666666666667,8.2,-3.32333333333333,-10.92,-0.94,15.2333333333333,0.186666666666667,8.2,-1.75333333333333,-9.60416666666667,1.9975,22.2916666666667,0.3625,12.6416666666667,-0.421666666666667,0.0140626104574532,0.0604476498417144,0.0132601850929819,1.32077538593351,0.129786787837181,0.0952665485991372,1.6986270851334,0.581461182532202,0.007927799397672,0.887025015672713,0.0044224489092763,0.0775508612965867,1.52217638092641,0.867774616572234,1.65150805969157,1.17442634436854,0.423277574693487,1.27759146641245,1.7360410758109,0.838794272920129,1.01922105509897,0.0270039984952317,0.40539638391339,0.381590880154067,1.08825101371512,0.448340685485199,0.320471942379143,2.03662813219972,0.520998070853759,0.0298288930980162,-18.85,15.69,6.86,23.81,-29.56,-15.94,-25.51,12.61,-29.47,23.81,0.0048589927402523,0.385384849602628,0.136031658877886,1.88126959300212,0.0448987981427455,2.37792910973911,2.84898511738536,0.00524085829118632,0.0264670402897579,1.88126959300212
1976,64.730765,-148.303315,360,-7.75666666666667,5.58,18.4,0.36,11.6333333333333,-3.48666666666667,8.06666666666667,21.6233333333333,36.5333333333333,0.813333333333333,8.46666666666667,-3.17333333333333,-17.37,-8.38,12.2666666666667,0.0166666666666667,6.1,-3.81333333333333,-7.08666666666667,3.76,20.5666666666667,0.226666666666667,6.1,-3.51,-8.18333333333333,3.80833333333333,20.5083333333333,0.36,8.425,-3.46166666666667,0.0954127079397804,0.163104373395824,0.527871305659403,0.19602209268524,1.70008451749989,1.90500298380293,0.202525964980338,1.46739701429011,0.569242349548633,1.31631580011729,1.40582047686484,1.53519129510987,3.80278459977765,3.77205903152784,0.301398898821522,3.18598703801016,0.692156126477695,1.70306636888672,1.42624256562001,2.8096174132807,0.168684932477969,1.08781913305177,0.66871193710796,1.58994043351811,0.043260991238528,0.810101129696395,0.798384797516881,1.75281872489652,1.77507458112287,2.40956117698491,-18.15,13.91,7.49,22.52,-21.81,-4.54,-13.21,14.41,-29.56,22.52,0.00737112668382365,0.0419715777282025,1.16982413892337,0.0546363900987684,2.61626349108303,2.10058033595537,3.32549920015963,0.951065826603459,0.0340311617373652,0.0546363900987684
1977,64.730765,-148.303315,420,-9.43,3.14666666666667,20.1,0.316666666666667,20.9333333333333,-2.53333333333333,8.69333333333333,22.6366666666667,41.0666666666667,0.88,15.4,0.526666666666667,-21.8433333333333,-13.4866666666667,11.3666666666667,0.0333333333333333,31.9,1.67666666666667,-9.85333333333333,-0.683333333333334,39.0333333333333,0.183333333333333,31.9,2.06,-7.45166666666667,3.625,28.675,0.353333333333333,20.7333333333333,-0.445833333333333,0.23100956099244,0.454393916717692,0.979905253195581,0.226303912118847,0.15933767359037,1.01798488313909,2.6840507132655,5.1861976524643,0.189937775596856,4.72952941414386,0.0677108933033872,0.0545858981227096,0.446399782821859,0.155797445346804,0.450148080727417,0.347705377474163,1.94935914142211,0.425689044993995,0.382717270254066,0.599549072099008,2.76494569964565,0.0701924009199258,1.97814494491984,0.606077164500661,0.726412301018623,0.549291472809083,0.36709370428143,1.10005708809917,0.2022874963842,0.033737377560415,-21.01,13.69,7.86,23.65,-27.35,-8.02,-24.9,12.44,-27.35,23.65,0.302198195348839,0.094198624338402,2.25056645945626,1.51404458585911,0.095960574347324,0.287485025311544,2.2914290290307,0.000165732649960515,0.122886438057365,1.51404458585911
1978,64.730765,-148.303315,995,-6.91333333333333,7.12666666666667,7.86666666666667,0.4,36.7333333333333,-0.22,7.76666666666667,21.0366666666667,36.3,0.803333333333333,13.0333333333333,-1.93666666666667,-26.1,-15.8266666666667,16.5333333333333,0.0333333333333333,8,-2.5,-7.62,2.41333333333333,21.3333333333333,0.226666666666667,8,-2.88333333333333,-6.625,4.985,20.6333333333333,0.364166666666667,20.425,-1.23333333333333,0.499561994829875,1.18597352475791,0.819414589724288,1.6655222533315,1.2946998644348,0.0116743596430898,0.0141200560737777,0.353105031677031,0.594261035043917,0.986430463710084,0.0544449962243408,0.557730308355834,0.304393633078382,0.098831985389572,0.000844082220761698,0.347705377474163,0.446050829749829,0.700143349462112,0.713653513607816,0.87143179840188,0.105383161431573,1.08781913305177,0.427649844722661,1.06394350705527,2.49722388447619,3.68638561446299,0.757898586826982,2.23765979570616,0.164123230770671,0.292733394495729,-16.66,16.04,6.18,23.02,-33.81,-11.72,-16.47,13.94,-21.02,23.02,0.173871940323103,0.61331337765428,0.160402568443874,0.455316217807784,1.47647246442745,0.188976175834566,0.797284426763696,0.546840287427747,3.54570589978595,0.455316217807784
1979,64.730765,-148.303315,720,-7.33666666666667,6.60666666666667,16.6666666666667,0.383333333333333,20.2666666666667,-1.8,8.39333333333333,21.0433333333333,42.0666666666667,0.77,13.4666666666667,-1.62,-23.7933333333333,-13.72,13.6,0.0566666666666667,17.3,-1.43666666666667,-4.56666666666667,5.90666666666667,26,0.243333333333333,14.2333333333333,-2.40666666666667,-8.02416666666667,3.775,23.775,0.356666666666667,14.7666666666667,-2.0025,0.257106656829727,0.737310439256896,0.20979111917433,0.878527715304231,0.215318642758451,0.523254134221231,1.14372454197598,0.361488713588023,0.133608674613397,0.229893425549556,0.0204394572329819,0.385361069633305,0.0119491336920769,0.104979324460428,0.135686947789654,1.17442634436854,0.0183064484786967,0.209409887011759,8.09697147232776,8.18004220556128,0.0397475339085098,2.39021939367144,0.0135896937379569,0.734357084142817,0.121211829637743,0.758924441059046,0.0862956733664332,1.4075172793443,0.171503826828451,0.792277512131568,-16.03,17.41,7.06,21.92,-28.48,-3.53,-10.77,14.72,-33.81,21.92,0.310232414548187,2.01249905042146,0.354141059615511,0.0873131915818321,0.00185240805900246,2.93904625777226,6.35132314606818,1.27851373801842,1.47227506584052,0.0873131915818321
1980,64.730765,-148.303315,330,-5.86,7.50333333333333,7.4,0.403333333333333,28.5,-1.9,7.51333333333333,19.8366666666667,46.4333333333333,0.69,11.6333333333333,-1.97,-21.55,-12.4333333333333,12.2666666666667,0.04,8,-3.22,-6.88666666666667,2.51,20.1333333333333,0.203333333333333,7.83333333333333,-2.38,-7.63333333333333,3.44916666666667,21.4083333333333,0.34,15.5416666666667,-2.035,1.44910605375762,1.57724653031109,0.955522874203398,1.85287021312403,0.113509826854426,0.581112064753049,0.359035504575832,0.446351771430093,0.0034313536174134,0.567696010030536,0.27593200151156,0.577722647605986,0.565794749947753,0.509656337387016,0.301398898821522,0.0124452618672271,0.446050829749829,1.19565985815009,1.75643774791042,0.97380729691382,0.211020285796808,0.114730440920391,0.44664858136429,0.71771811320713,0.479310619007902,0.346601676141439,0.530396280617214,0.248628866189573,0.0911559919361167,0.818750566821021,-14.93,16.53,5.8,21.71,-33,-2.89,-15.51,10.93,-33,21.71,0.642304914436344,1.0209740930242,0.689599461876757,0.231091118107319,1.04837551327775,3.54306249493809,1.36183127919659,0.59328456345446,1.03485363267158,0.231091118107319
1981,64.730765,-148.303315,140,-4.89,8.45333333333333,10.9333333333333,0.396666666666667,12.2,-2.80333333333333,6.98333333333333,19.0733333333333,59.3,0.61,12.4666666666667,0.4,-25.8933333333333,-17.08,11.2666666666667,0.05,10.7,1.00333333333333,-6.97333333333333,1.54,29.8333333333333,0.173333333333333,10,1.17333333333333,-5.8325,5.05333333333333,28.3833333333333,0.305833333333333,10.8916666666667,-0.7525,2.76045098439,2.81141671083067,0.185024765709829,1.48815731093465,1.55937082069393,1.24122138514164,2.57338021944596,2.16405491528537,0.7154838956399,3.94572185484034,0.123557807281617,0.0335698271849454,0.242549835510523,0.48187427727395,0.46851127083766,0.366754247679104,0.188956691608313,0.170049763330212,1.60913579994801,0.204179326649201,0.396638923774773,0.321224990013458,0.231870919063545,0.205988325760166,5.18990362730567,3.91734308419172,0.305071029969264,0.830438151161132,0.950973498958539,0.104228305518702,-10.1,17.63,5.6,20.22,-31.16,-13.39,-16.77,11.22,-23.7,20.22,3.51493238362023,2.31244955074166,1.11660237317999,3.22195207670732,0.347594962854356,0.762000684331061,0.651671581642684,0.390366750803884,1.52323354278021,3.22195207670732
1982,64.730765,-148.303315,250,-8.55,3.68,20,0.293333333333333,24,1.46333333333333,7.64666666666667,20.4433333333333,54.9,0.713333333333333,13.8333333333333,2.48333333333333,-22.4033333333333,-13.29,7.9,0.05,8.2,-1.87,-9.71,-0.8,22.4,0.166666666666667,8.2,1.35,-8.84083333333333,1.92416666666667,27.125,0.305833333333333,13.975,1.345,0.00428065193473015,0.191690389661635,0.949475276264391,0.941420724897111,0.0101700513127461,0.299766432566894,0.119972536192272,0.000895308593596997,0.287909784081246,0.155119415963922,0.0044224489092763,1.02500186474866,0.257708596397885,0.206395318779084,1.30096229284844,0.366754247679104,0.423277574693487,0.37468922121882,0.275331479189121,0.703329076449894,0.0419665186978494,0.589802867592023,0.40539638391339,0.268889240745225,0.137642160713946,0.537506197007402,0.103234570189337,0.830438151161132,0.279579752085981,0.395654663945028,-16.93,12.61,6.58,22.01,-27.5,-9.82,-19.67,13.3,-31.16,22.01,0.127432691506215,0.652673722586549,0.00270844772277475,0.0467005954528799,0.0752776241569374,0.0040769933120753,0.000426431537489162,0.175125070601515,0.326984087847074,0.0467005954528799
1983,64.730765,-148.303315,220,-7.17,6.39,6.26666666666667,0.383333333333333,15.4,-2.53333333333333,8.13,20.0466666666667,46.1,0.713333333333333,13.9333333333333,-3.30333333333333,-24.4,-16.4766666666667,17.0666666666667,0.0266666666666667,18.5,-0.256666666666667,-8.68666666666667,-0.183333333333333,20.0333333333333,0.156666666666667,18.5,-1.18666666666667,-7.655,2.90333333333333,20.1583333333333,0.324166666666667,14.8666666666667,-2.21166666666667,0.343038290643362,0.581689998304117,1.32958867194392,0.878527715304233,0.878817202425794,1.01798488313909,0.325037746204442,0.199978245517677,0.00672545309013032,0.155119415963922,0.0020836822071423,1.66608883929066,0.00416577980985895,0.261472962849659,0.0102636128800067,1.14013837799965,0.0570905946445186,0.00136037103611172,0.0212671220004521,0.248557790980016,0.221462402349673,1.14450391123418,0.0631284453450372,0.168302772603881,0.453256090286621,0.013362903102056,0.917350349830307,0.0239464187412078,0.159721348869809,0.970265377630805,-18.04,15.43,6.36,21.94,-26.67,-15.56,-16.67,8.92,-27.5,21.94,0.0121662405441348,0.250191245015666,0.0387528181733115,0.0771989435037408,0.221171172737677,2.08034608579253,0.698579141325122,3.16275056977376,0.0987452508245326,0.0771989435037408
1984,64.730765,-148.303315,2400,-6.61,6.01333333333333,14.3666666666667,0.35,29.2,0.993333333333333,8.09333333333333,19.74,41,0.706666666666667,13.8333333333333,0.763333333333333,-21.2733333333333,-11.8733333333333,29.2,0.0333333333333333,8.2,-1.49333333333333,-9.35666666666667,0.573333333333333,8.33333333333333,0.236666666666667,8.2,-1.93,-8.16916666666667,2.57,23.4833333333333,0.330833333333333,16.575,-0.148333333333333,0.722360409756039,0.35500790440681,0.0103483786779049,0.053264943926806,0.164031494897025,0.132840219592106,0.250594240976178,0.592565380698821,0.194044419606177,0.246607615927522,0.0044224489092763,0.107474946891612,0.691356978391541,0.78074599130719,3.04552245786651,0.347705377474163,0.423277574693487,0.228309850509634,0.0859627069857699,0.00660225887199409,3.18383231185449,1.80852559851385,0.40539638391339,0.465692103528367,0.0486061082961939,0.0300456604159356,0.120625264564316,0.0144861051644342,0.0231975970230613,0.00236882080253611,-12.75,13.87,6.58,22.21,-26.21,-5.71,-21.18,14.34,-26.67,22.21,1.65354648960711,0.0499182362896004,0.00270844772277475,0.00157548864293338,0.335091584560382,1.30491022046066,0.204064900585374,0.883817896097644,0.265405598461185,0.00157548864293338
